,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,laisser,let
11,11,car,because
12,12,laisse,leash
13,13,eux,them
14,15,chaque,each
15,16,parlé,speak
16,17,arrivé,come
17,18,devrait,should
18,19,longtemps,long time
19,20,heures,hours
20,22,pendant,while
21,23,revoir,meet again
22,24,aucune,any
23,25,place,square
24,26,parle,speak
25,27,compris,understood
26,28,étaient,were
27,29,voici,here is
28,30,pourrais,could
29,31,affaire,case
30,33,type,type
31,34,leurs,their
32,35,donné,given
33,36,train,train
34,37,corps,body
35,39,yeux,eyes
36,40,façon,way
37,41,écoute,listen
38,42,dont,whose
39,43,trouve,find
40,46,main,hand
41,47,première,first
42,48,côté,side
43,49,vieux,old
44,50,sois,be
45,51,tiens,here
46,53,tellement,so much
47,54,enfant,child
48,56,venu,came
49,57,suite,after
50,58,pardon,sorry
51,59,venez,come
52,60,devant,in front of
53,61,minutes,minutes
54,62,demandé,request
55,63,mis,placed
56,64,belle,beautiful
57,65,droit,law
58,66,aimerais,would like to
59,67,aujourd'hui,today
60,68,cause,cause
61,69,enfin,finally
62,70,espère,hope
63,71,eau,water
64,72,attendez,Wait
65,73,parti,left
66,74,nouvelle,new
67,75,boulot,job
68,76,arrêter,Stop
69,77,terre,Earth
70,78,compte,account
71,79,donne,given
72,80,loin,far
73,81,fin,end
74,82,croire,believe
75,83,chérie,sweetheart
76,84,gros,large
77,85,plutôt,rather
78,86,aura,will have
79,87,filles,girls
80,88,jouer,to play
81,89,bureau,office
